G,Date,Start (ET),Home,Opponent,Win,Tm,Opp,W,L,Streak,Day,teamname,Rk,Teams,Note,Chg,Rcrd
11,2022-11-09,7:30p,1,Detroit Pistons,1,128,112,8,3,W 4,3,Pistons,27,Pistons,"The Pistons picked up a nice win over the Heat this week, also losing to two of the best in the West in the Grizzlies and Pelicans. Bojan Bogdanovic caught fire from deep in the win over Miami, going 7-for-9 from the 3-point line en route to 31 points. Saddiq Bey led the team with 21 points per game for the week, while Killian Hayes averaged 12 points and eight assists on 43 percent 3-point shooting in the three games.",1,7-22
12,2022-11-11,7:00p,1,Denver Nuggets,1,131,112,9,3,W 5,5,Nuggets,9,Nuggets,"The Nuggets are grateful for Jamal Murray, whose game-winning, step-back 3-pointer against the Blazers on Thursday saved them from a winless week after losses to the Hawks, Pelicans and Mavs. Porous defense was largely to blame for the brief skid, as Denver allowed 120 points per 100 possessions on the week. Nikola Jokic has looked for his own offense a bit more, putting up 27.5 points per game this week to go with 11 rebounds and 8.5 assists. Aaron Gordon has been incredible all season, and he kept that up with 20 points and 6.5 rebounds per game this week on 68 percent shooting.",4,16-10
13,2022-11-12,7:00p,0,Detroit Pistons,1,117,108,10,3,W 6,6,Pistons,27,Pistons,"The Pistons picked up a nice win over the Heat this week, also losing to two of the best in the West in the Grizzlies and Pelicans. Bojan Bogdanovic caught fire from deep in the win over Miami, going 7-for-9 from the 3-point line en route to 31 points. Saddiq Bey led the team with 21 points per game for the week, while Killian Hayes averaged 12 points and eight assists on 43 percent 3-point shooting in the three games.",1,7-22
14,2022-11-14,7:30p,1,Oklahoma City Thunder,1,126,122,11,3,W 7,1,Thunder,23,Thunder,"The offensive juggernaut OKC Thunder put up 256 total points in wins over the Wolves and Hawks to start the week before running out of gas in a loss to the Grizzlies on Wednesday. Shai Gilgeous-Alexander continues to score at will, averaging 31 points this week despite shooting just 22 percent from 3-point range. His young backcourt mate Josh Giddey was also excellent, putting up 16 points, nine rebounds and five assists per game on 50 percent 3-point shooting.",3,11-15
15,2022-11-16,7:30p,0,Atlanta Hawks,1,126,101,12,3,W 8,3,Hawks,20,Hawks,"Yeesh. A short-handed win over the Nuggets was soured by a report that Trae Young had missed shootaround that day without approval, leading to his absence at the game. McMillan denied the report, but did acknowledge that ""a situation happened."" Then, just four minutes into a 24-point loss to the Knicks, Dejounte Murray went down with an ankle injury that will sideline him for at least two weeks. Rough sledding for Atlanta this holiday season. The silver lining is that Bogdan Bogdanovic made his season debut and played in all three games this week, so he can at least make up for some of Murray's offensive production. Defense will be another story.",4,14-13
16,2022-11-18,8:30p,0,New Orleans Pelicans,1,117,109,13,3,W 9,5,Pelicans,2,Pelicans,"Even with Brandon Ingram out, the Pelican train keeps on rolling. They beat the Spurs, Nuggets and Pistons this week to run their winning streak to five games and claim sole possession of first place in the Western Conference. The defense has been excellent all season, and they took it to another level this week by allowing just 99.3 points per 100 possessions. Zion Williamson was a maniac, as usual, averaging 28 points, 10.3 rebounds and 5.7 assists per game on 62 percent shooting. Jose Alvarado erupted for 38 points in the win over Denver, the most points scored off the bench by an undrafted player since the NBA began tracking starters in the 1970-71 season.",2,18-8
17,2022-11-21,8:00p,0,Chicago Bulls,0,107,121,13,4,L 1,1,Bulls,24,Bulls,"Mercifully, the Bulls' West Coast swing came to an end after losses to the Warriors and Kings to start the week, and the homecoming was a pleasant one with a win over the Wizards. The offense has been borderline anemic, and that's with Zach LaVine averaging 29 points per game on 49/44/86 splits this week and Nikola Vucevic dropping 20 per game on 44 percent 3-point shooting. DeMar DeRozan was uncharacteristically inefficient, shooting just 39 percent from the field.",2,11-15
18,2022-11-23,7:30p,1,Dallas Mavericks,1,125,112,14,4,W 1,3,Mavericks,6,Mavericks,"Don't look now, but here come the Mavs. Blowout wins over the Knicks and Suns were followed by an impressive victory in Denver on Tuesday, as Tim Hardaway Jr. went off for 29 points. He's been giving Dallas a much-needed offensive boost, averaging 24.7 points per game this week on searing 63 percent 3-point shooting. Luka Doncic continues to just do Luka things, putting up 28.3 points, nine assists and eight rebounds per game this week on 44 percent 3-point shooting, helping the Mavs to a robust 123.6 offensive rating in the three wins.",13,13-13
19,2022-11-25,8:00p,1,Sacramento Kings,1,122,104,15,4,W 2,5,Kings,7,Kings,"The Kings lit the beam after wins over the Clippers and Bulls this week before a loss in Milwaukee on Wednesday. Six players averaged double figures for Sacramento, led by Domantas Sabonis' 19.3 points, 11.3 rebounds and 7.7 assists per game. Rookie Keegan Murray has come on of late, averaging 16.3 points this week on 47 percent 3-point shooting.",2,14-11
20,2022-11-27,6:00p,1,Washington Wizards,1,130,121,16,4,W 3,7,Wizards,25,Wizards,"Not a good week for Washington, which lost to the struggling Hornets and Bulls, also allowing 55 points to Anthony Davis in between. Bradley Beal left the loss to the Lakers with a hamstring strain that will sideline him for at least a week, so Kristaps Porzingis and Kyle Kuzma took the lead offensively. Porzingis averaged 25.3 points in the three games, but went a ghastly 1-for-18 from 3-point range. Kuzma averaged 23.5 points against the Lakers and Bulls after Beal's injury.",4,11-16
21,2022-11-28,7:30p,1,Charlotte Hornets,1,140,105,17,4,W 4,1,Hornets,28,Hornets,"Charlotte narrowly avoided a massive collapse against the Wizards last Friday, but hung on for the win after watching a 17-point fourth-quarter lead nearly evaporate. The downward momentum continued in consecutive losses to the Bucks, Clippers and Nets. The good news is that Terry Rozier and Kelly Oubre Jr. are putting the ball in the hoop, each averaging 25 points for the week.",1,7-20
22,2022-11-30,7:30p,1,Miami Heat,1,134,121,18,4,W 5,3,Heat,21,Heat,"It was a weird week for the Heat, who picked up a statement road win in overtime against the Celtics, but also got clobbered at home by the Pistons. Butler missed the loss to the Detroit, but averaged 23 points, 8.7 rebounds and 6.3 assists in the other three games while shooting 64 percent from the field. Tyler Herro caught fire, putting up 25.5 points per game this week on 46 percent 3-point shooting, and Bam Adebayo racked up 31 points and 10 rebounds in Thursday's win over the short-handed Clippers.",3,12-15
23,2022-12-02,7:30p,1,Miami Heat,0,116,120,18,5,L 1,5,Heat,21,Heat,"It was a weird week for the Heat, who picked up a statement road win in overtime against the Celtics, but also got clobbered at home by the Pistons. Butler missed the loss to the Detroit, but averaged 23 points, 8.7 rebounds and 6.3 assists in the other three games while shooting 64 percent from the field. Tyler Herro caught fire, putting up 25.5 points per game this week on 46 percent 3-point shooting, and Bam Adebayo racked up 31 points and 10 rebounds in Thursday's win over the short-handed Clippers.",3,12-15
24,2022-12-04,6:00p,0,Brooklyn Nets,1,103,92,19,5,W 1,7,Nets,10,Nets,"The Nets beat the Raptors and Hornets this week, while managing only 92 points in a loss to the dreaded Celtics. Kyrie Irving and Kevin Durant each averaged 26 points per game this week and both shot better than 50 percent from the field. After a substandard shooting start to the season, Joe Harris went 10-for-16 from 3-point range this week, one of the few Nets to consistently make shots. And no, your eyes did not deceive you -- that was TJ Warren on the court for Brooklyn in the past three games, seeing NBA action for the first time in almost two calendar years.",1,16-12
25,2022-12-05,7:30p,0,Toronto Raptors,1,116,110,20,5,W 2,1,Raptors,11,Raptors,"The Raptors have been almost a perfectly .500 team this season, so it makes sense that they went 2-2 this week, with wins over the Magic and short-handed Lakers to go along with losses to the Nets and Celtics. Pascal Siakam is showing no ill effects from his adductor injury, putting up 26 points, 8.3 rebounds and seven assists per game this week, while the rest of the team struggled mightily from 3-point range. Scottie Barnes averaged a double-double for the week with 17 points and 11.8 rebounds per game.",2,13-14
26,2022-12-07,10:00p,0,Phoenix Suns,1,125,98,21,5,W 3,3,Suns,8,Suns,"It was a dim week for the normally bright Suns, who lost three of four games -- one to the Rockets and two non-competitive efforts against the Mavs and Celtics. On the plus side, Chris Paul returned on Wednesday against Boston, putting up four points, four assists and four rebounds in 24 minutes. Devin Booker scored fewer points this week, partly due to the blowouts, but still shot 41 percent from the 3-point line.",6,16-11
27,2022-12-10,8:30p,0,Golden State Warriors,0,107,123,21,6,L 1,6,Warriors,13,Warriors,"After wins over the Bulls and Rockets, the Warriors had trouble finishing their stretch of four games in six days. They lost at home to a very thin Pacers roster before watching victory slip from their clutches in the final 13 seconds against Utah with Steph Curry, Draymond Green and Andrew Wiggins resting. Jordan Poole took advantage of the extra opportunity against the Jazz, putting up 36 points and eight assists. Jonathan Kuminga, who has recently earned praise from Steve Kerr, went off for 24 points, five rebounds and four assists in that Utah game.",1,14-13
