G,Date,Start (ET),Home,Opponent,Win,Tm,Opp,W,L,Streak,Day,teamname,Rk,Teams,Note,Chg,Rcrd
14,2022-11-14,8:00p,0,Houston Rockets,1,122,106,8,6,W 1,1,Rockets,26.0,Rockets,"The same week that the Rockets beat the Suns and 76ers, they get blown off the court by the free-falling Spurs without two of their best players. Ah, the fickle saga of a young team. Jalen Green averaged 21 points for the week but was not efficient in the slightest, shooting 35 percent from the field with as many turnovers as assists. Rookie Jabari Smith Jr. had perhaps his best week as a pro, putting up 15.5 points and 6.5 rebounds per game on 55 percent shooting, including a career-high 23 points in Thursday's loss to San Antonio.",1,8-18
15,2022-11-15,8:30p,0,Dallas Mavericks,0,101,103,8,7,L 1,2,Mavericks,6.0,Mavericks,"Don't look now, but here come the Mavs. Blowout wins over the Knicks and Suns were followed by an impressive victory in Denver on Tuesday, as Tim Hardaway Jr. went off for 29 points. He's been giving Dallas a much-needed offensive boost, averaging 24.7 points per game this week on searing 63 percent 3-point shooting. Luka Doncic continues to just do Luka things, putting up 28.3 points, nine assists and eight rebounds per game this week on 44 percent 3-point shooting, helping the Mavs to a robust 123.6 offensive rating in the three wins.",13,13-13
16,2022-11-17,10:30p,1,Detroit Pistons,1,96,91,9,7,W 1,4,Pistons,27.0,Pistons,"The Pistons picked up a nice win over the Heat this week, also losing to two of the best in the West in the Grizzlies and Pelicans. Bojan Bogdanovic caught fire from deep in the win over Miami, going 7-for-9 from the 3-point line en route to 31 points. Saddiq Bey led the team with 21 points per game for the week, while Killian Hayes averaged 12 points and eight assists on 43 percent 3-point shooting in the three games.",1,7-22
17,2022-11-19,10:30p,1,San Antonio Spurs,1,119,97,10,7,W 2,6,Spurs,30.0,Spurs,"All bad things must come to an end, and the Spurs finally got in the win column, snapping their 11-game slide on Thursday against the Rockets -- even more impressive since it came without Devin Vassell and Jakob Poeltl. Keldon Johnson shot terribly from deep in the two losses, but made up for it with 32 points on 14-for-21 shooting against Houston. Tre Jones went for 26 points and five assists in the win.",0,8-18
18,2022-11-21,10:30p,1,Utah Jazz,1,121,114,11,7,W 3,1,Jazz,12.0,Jazz,"Utah's 2-1 week was punctuated by a miraculous win over the short-handed Warriors on Wednesday, in which the Jazz erased a four-point deficit in just over 13 seconds. Simone Fontecchio threw down the game-winning dunk, capping a week in which he averaged 10 points in just under 18 minutes per game. Collin Sexton has been playing well, putting up 18 points per game on 50 percent shooting this week, but he suffered a hamstring injury in the win over Golden State. The Jazz scored 139 points in their other victory this week over the Pacers.",3,15-14
19,2022-11-23,10:00p,0,Golden State Warriors,0,107,124,11,8,L 1,3,Warriors,13.0,Warriors,"After wins over the Bulls and Rockets, the Warriors had trouble finishing their stretch of four games in six days. They lost at home to a very thin Pacers roster before watching victory slip from their clutches in the final 13 seconds against Utah with Steph Curry, Draymond Green and Andrew Wiggins resting. Jordan Poole took advantage of the extra opportunity against the Jazz, putting up 36 points and eight assists. Jonathan Kuminga, who has recently earned praise from Steve Kerr, went off for 24 points, five rebounds and four assists in that Utah game.",1,14-13
20,2022-11-25,10:30p,1,Denver Nuggets,0,104,114,11,9,L 2,5,Nuggets,9.0,Nuggets,"The Nuggets are grateful for Jamal Murray, whose game-winning, step-back 3-pointer against the Blazers on Thursday saved them from a winless week after losses to the Hawks, Pelicans and Mavs. Porous defense was largely to blame for the brief skid, as Denver allowed 120 points per 100 possessions on the week. Nikola Jokic has looked for his own offense a bit more, putting up 27.5 points per game this week to go with 11 rebounds and 8.5 assists. Aaron Gordon has been incredible all season, and he kept that up with 20 points and 6.5 rebounds per game this week on 68 percent shooting.",4,16-10
21,2022-11-27,4:00p,1,Indiana Pacers,1,114,100,12,9,W 1,7,Pacers,16.0,Pacers,"The Pacers went 1-3 this week, but the one win was as special as they come. Without Tyrese Haliburton and Myles Turner, rookie Andrew Nembhard put on a dazzling 31-point, 13-assist clinic to defeat the reigning champion Warriors on their home floor. It got to the point where even Steph Curry was shaking his head when Nembhard knocked down a contested step-back 3-pointer. The performance led Indiana coach Rick Carlisle to say that Nembhard, who was taken with the first pick in the second round, has vaulted himself into the top 10 of the 2022 draft class.",6,14-13
22,2022-11-29,10:00p,0,Portland Trail Blazers,1,118,112,13,9,W 2,2,Blazers,,,,,
23,2022-11-30,9:00p,0,Utah Jazz,0,112,125,13,10,L 1,3,Jazz,12.0,Jazz,"Utah's 2-1 week was punctuated by a miraculous win over the short-handed Warriors on Wednesday, in which the Jazz erased a four-point deficit in just over 13 seconds. Simone Fontecchio threw down the game-winning dunk, capping a week in which he averaged 10 points in just under 18 minutes per game. Collin Sexton has been playing well, putting up 18 points per game on 50 percent shooting this week, but he suffered a hamstring injury in the win over Golden State. The Jazz scored 139 points in their other victory this week over the Pacers.",3,15-14
24,2022-12-03,4:00p,1,Sacramento Kings,0,96,123,13,11,L 2,6,Kings,7.0,Kings,"The Kings lit the beam after wins over the Clippers and Bulls this week before a loss in Milwaukee on Wednesday. Six players averaged double figures for Sacramento, led by Domantas Sabonis' 19.3 points, 11.3 rebounds and 7.7 assists per game. Rookie Keegan Murray has come on of late, averaging 16.3 points this week on 47 percent 3-point shooting.",2,14-11
25,2022-12-05,7:00p,0,Charlotte Hornets,1,119,117,14,11,W 1,1,Hornets,28.0,Hornets,"Charlotte narrowly avoided a massive collapse against the Wizards last Friday, but hung on for the win after watching a 17-point fourth-quarter lead nearly evaporate. The downward momentum continued in consecutive losses to the Bucks, Clippers and Nets. The good news is that Terry Rozier and Kelly Oubre Jr. are putting the ball in the hoop, each averaging 25 points for the week.",1,7-20
26,2022-12-07,7:00p,0,Orlando Magic,0,111,116,14,12,L 1,3,Magic,29.0,Magic,"Things were getting pretty bleak in Orlando as the Magic saw their losing streak reach nine games, but they managed to pull out an overtime victory over the Clippers on Wednesday to break the skid. Markelle Fultz has quickly gotten up to a solid minutes load and has looked good, putting up 9.5 points and four assists per game this week while knocking down a couple of 3-pointers. Paolo Banchero led the team in scoring for the week with 18.5 points per game, but he shot less than 40 percent from the field.",0,8-20
27,2022-12-08,7:30p,0,Miami Heat,0,110,115,14,13,L 2,4,Heat,21.0,Heat,"It was a weird week for the Heat, who picked up a statement road win in overtime against the Celtics, but also got clobbered at home by the Pistons. Butler missed the loss to the Detroit, but averaged 23 points, 8.7 rebounds and 6.3 assists in the other three games while shooting 64 percent from the field. Tyler Herro caught fire, putting up 25.5 points per game this week on 46 percent 3-point shooting, and Bam Adebayo racked up 31 points and 10 rebounds in Thursday's win over the short-handed Clippers.",3,12-15
28,2022-12-10,7:00p,0,Washington Wizards,1,114,107,15,13,W 1,6,Wizards,25.0,Wizards,"Not a good week for Washington, which lost to the struggling Hornets and Bulls, also allowing 55 points to Anthony Davis in between. Bradley Beal left the loss to the Lakers with a hamstring strain that will sideline him for at least a week, so Kristaps Porzingis and Kyle Kuzma took the lead offensively. Porzingis averaged 25.3 points in the three games, but went a ghastly 1-for-18 from 3-point range. Kuzma averaged 23.5 points against the Lakers and Bulls after Beal's injury.",4,11-16
